investor_id,risk_appetite,horizon_years,preferred_category,rank,amfi_code,scheme_name,fund_house,category,plan,return_3yr_pct,sharpe_ratio,std_dev_ann_pct,max_drawdown_pct,morningstar_rating,aum_crore,recommendation_score,explanation
INV-001,Conservative,2,Gilt,1,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,6.07,1.52,4.0,-2.3,5,24101,75.0,"Suitable for a conservative investor with a 2-year horizon (1–3 years recommended). 3-year CAGR of 6.1% (weight: 25%). Sharpe ratio of 1.52 indicates excellent risk-adjusted returns (weight: 40%). Annualised volatility of 4.0% (low; weight: 20%). Maximum drawdown of -2.3% (weight: 15%). Morningstar rating: ★★★★★. AUM: ₹24,101 Cr."
INV-001,Conservative,2,Gilt,2,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,5.31,1.33,4.0,-2.23,4,30030,25.0,"Suitable for a conservative investor with a 2-year horizon (1–3 years recommended). 3-year CAGR of 5.3% (weight: 25%). Sharpe ratio of 1.33 indicates excellent risk-adjusted returns (weight: 40%). Annualised volatility of 4.0% (low; weight: 20%). Maximum drawdown of -2.2% (weight: 15%). Morningstar rating: ★★★★. AUM: ₹30,030 Cr."
INV-002,Moderate,5,Large Cap,1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,14.81,1.06,14.0,-17.07,5,11361,90.03,"Suitable for a moderate investor with a 5-year horizon (3–7 years recommended). 3-year CAGR of 14.8% (weight: 35%). Sharpe ratio of 1.06 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -17.1% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹11,361 Cr."
INV-002,Moderate,5,Large Cap,2,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,14.84,1.06,14.0,-17.41,5,6434,89.96,"Suitable for a moderate investor with a 5-year horizon (3–7 years recommended). 3-year CAGR of 14.8% (weight: 35%). Sharpe ratio of 1.06 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -17.4% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹6,434 Cr."
INV-002,Moderate,5,Large Cap,3,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,14.0,1.0,14.0,-16.07,4,20909,75.91,"Suitable for a moderate investor with a 5-year horizon (3–7 years recommended). 3-year CAGR of 14.0% (weight: 35%). Sharpe ratio of 1.00 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -16.1% (weight: 20%). Morningstar rating: ★★★★. AUM: ₹20,909 Cr."
INV-002,Moderate,5,Large Cap,4,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,13.78,0.98,14.0,-15.07,5,23500,72.42,"Suitable for a moderate investor with a 5-year horizon (3–7 years recommended). 3-year CAGR of 13.8% (weight: 35%). Sharpe ratio of 0.98 indicates good risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -15.1% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹23,500 Cr."
INV-002,Moderate,5,Large Cap,5,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.41,1.03,14.0,-26.59,3,41553,72.15,"Suitable for a moderate investor with a 5-year horizon (3–7 years recommended). 3-year CAGR of 14.4% (weight: 35%). Sharpe ratio of 1.03 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -26.6% (weight: 20%). Morningstar rating: ★★★. AUM: ₹41,553 Cr."
INV-003,Aggressive,10,Small Cap,1,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,23.39,0.94,25.0,-13.35,5,19259,95.0,"Suitable for a aggressive investor with a 10-year horizon (7+ years recommended). 3-year CAGR of 23.4% (weight: 45%). Sharpe ratio of 0.94 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 25.0% (high; weight: 10%). Maximum drawdown of -13.3% (weight: 25%). Morningstar rating: ★★★★★. AUM: ₹19,259 Cr."
INV-003,Aggressive,10,Small Cap,2,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,23.14,0.93,25.0,-24.78,4,36061,73.86,"Suitable for a aggressive investor with a 10-year horizon (7+ years recommended). 3-year CAGR of 23.1% (weight: 45%). Sharpe ratio of 0.93 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 25.0% (high; weight: 10%). Maximum drawdown of -24.8% (weight: 25%). Morningstar rating: ★★★★. AUM: ₹36,061 Cr."
INV-003,Aggressive,10,Small Cap,3,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,22.38,0.9,25.0,-23.61,5,41613,60.91,"Suitable for a aggressive investor with a 10-year horizon (7+ years recommended). 3-year CAGR of 22.4% (weight: 45%). Sharpe ratio of 0.90 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 25.0% (high; weight: 10%). Maximum drawdown of -23.6% (weight: 25%). Morningstar rating: ★★★★★. AUM: ₹41,613 Cr."
INV-003,Aggressive,10,Small Cap,4,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,20.98,0.84,25.0,-14.45,4,21545,46.38,"Suitable for a aggressive investor with a 10-year horizon (7+ years recommended). 3-year CAGR of 21.0% (weight: 45%). Sharpe ratio of 0.84 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 25.0% (high; weight: 10%). Maximum drawdown of -14.4% (weight: 25%). Morningstar rating: ★★★★. AUM: ₹21,545 Cr."
INV-003,Aggressive,10,Small Cap,5,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.08,0.8,25.0,-17.01,4,35124,24.78,"Suitable for a aggressive investor with a 10-year horizon (7+ years recommended). 3-year CAGR of 20.1% (weight: 45%). Sharpe ratio of 0.80 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 25.0% (high; weight: 10%). Maximum drawdown of -17.0% (weight: 25%). Morningstar rating: ★★★★. AUM: ₹35,124 Cr."
INV-004,Moderate,7,All,1,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,7.68,7.68,0.5,-2.62,5,39116,73.21,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 7.7% (weight: 35%). Sharpe ratio of 7.68 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 0.5% (low; weight: 15%). Maximum drawdown of -2.6% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹39,116 Cr."
INV-004,Moderate,7,All,2,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,6.18,6.18,0.5,-3.81,3,27623,60.9,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 6.2% (weight: 35%). Sharpe ratio of 6.18 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 0.5% (low; weight: 15%). Maximum drawdown of -3.8% (weight: 20%). Morningstar rating: ★★★. AUM: ₹27,623 Cr."
INV-004,Moderate,7,All,3,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,5.14,5.14,0.5,-3.66,5,38995,52.99,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 5.1% (weight: 35%). Sharpe ratio of 5.14 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 0.5% (low; weight: 15%). Maximum drawdown of -3.7% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹38,995 Cr."
INV-004,Moderate,7,All,4,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,15.34,0.96,16.0,-12.14,5,17912,48.28,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 15.3% (weight: 35%). Sharpe ratio of 0.96 indicates good risk-adjusted returns (weight: 30%). Annualised volatility of 16.0% (moderate; weight: 15%). Maximum drawdown of -12.1% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹17,912 Cr."
INV-004,Moderate,7,All,5,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,14.81,1.06,14.0,-17.07,5,11361,45.74,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 14.8% (weight: 35%). Sharpe ratio of 1.06 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -17.1% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹11,361 Cr."
INV-004,Moderate,7,All,6,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,14.84,1.06,14.0,-17.41,5,6434,45.62,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 14.8% (weight: 35%). Sharpe ratio of 1.06 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -17.4% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹6,434 Cr."
INV-004,Moderate,7,All,7,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.65,0.98,16.0,-19.5,5,35012,44.7,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 15.7% (weight: 35%). Sharpe ratio of 0.98 indicates good risk-adjusted returns (weight: 30%). Annualised volatility of 16.0% (moderate; weight: 15%). Maximum drawdown of -19.5% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹35,012 Cr."
INV-004,Moderate,7,All,8,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,14.0,1.0,14.0,-16.07,4,20909,43.42,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 14.0% (weight: 35%). Sharpe ratio of 1.00 indicates excellent risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -16.1% (weight: 20%). Morningstar rating: ★★★★. AUM: ₹20,909 Cr."
INV-004,Moderate,7,All,9,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,13.78,0.98,14.0,-15.07,5,23500,43.24,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 13.8% (weight: 35%). Sharpe ratio of 0.98 indicates good risk-adjusted returns (weight: 30%). Annualised volatility of 14.0% (moderate; weight: 15%). Maximum drawdown of -15.1% (weight: 20%). Morningstar rating: ★★★★★. AUM: ₹23,500 Cr."
INV-004,Moderate,7,All,10,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,14.76,0.98,15.0,-21.89,4,2571,41.17,"Suitable for a moderate investor with a 7-year horizon (3–7 years recommended). 3-year CAGR of 14.8% (weight: 35%). Sharpe ratio of 0.98 indicates good risk-adjusted returns (weight: 30%). Annualised volatility of 15.0% (moderate; weight: 15%). Maximum drawdown of -21.9% (weight: 20%). Morningstar rating: ★★★★. AUM: ₹2,571 Cr."
INV-005,Aggressive,8,Mid Cap,1,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,18.23,0.96,19.0,-21.92,4,47469,83.8,"Suitable for a aggressive investor with a 8-year horizon (7+ years recommended). 3-year CAGR of 18.2% (weight: 45%). Sharpe ratio of 0.96 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 19.0% (high; weight: 10%). Maximum drawdown of -21.9% (weight: 25%). Morningstar rating: ★★★★. AUM: ₹47,469 Cr."
INV-005,Aggressive,8,Mid Cap,2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,18.08,0.95,19.0,-21.84,3,979,80.44,Suitable for a aggressive investor with a 8-year horizon (7+ years recommended). 3-year CAGR of 18.1% (weight: 45%). Sharpe ratio of 0.95 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 19.0% (high; weight: 10%). Maximum drawdown of -21.8% (weight: 25%). Morningstar rating: ★★★. AUM: ₹979 Cr.
INV-005,Aggressive,8,Mid Cap,3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,16.58,0.87,19.0,-13.67,5,23185,59.09,"Suitable for a aggressive investor with a 8-year horizon (7+ years recommended). 3-year CAGR of 16.6% (weight: 45%). Sharpe ratio of 0.87 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 19.0% (high; weight: 10%). Maximum drawdown of -13.7% (weight: 25%). Morningstar rating: ★★★★★. AUM: ₹23,185 Cr."
INV-005,Aggressive,8,Mid Cap,4,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,17.16,0.9,19.0,-26.99,4,37835,53.82,"Suitable for a aggressive investor with a 8-year horizon (7+ years recommended). 3-year CAGR of 17.2% (weight: 45%). Sharpe ratio of 0.90 indicates good risk-adjusted returns (weight: 20%). Annualised volatility of 19.0% (high; weight: 10%). Maximum drawdown of -27.0% (weight: 25%). Morningstar rating: ★★★★. AUM: ₹37,835 Cr."
